user_name,emp_name,email_id,phone_number,emp_address,emp_password,emp_role,salary,skill
Carolyn Parker,Katrina Rice,charlesjermaine@example.org,+1-480-355-1747x844,"0572 Patricia Centers
New Audreyton, KY 34835",X6Zl2LKj2#,manager,73357,attendant-manager
Jason Vance,Aaron Vaughn,moralesjonathan@example.net,182-649-0597x0712,"3391 Patrick Locks
West Frederick, UT 83574",^Mu8BrcZ61,manager,61753,hr-manager
Andrew Sanchez,Steven Thompson,dalexander@example.net,+1-593-052-4184x9363,"23747 Garcia Summit
East Charles, PA 54126",i(L#g5Kk3M,manager,74198,stock-manager
Charles Yoder,Jon Bailey,vthompson@example.org,(155)828-4023x1641,"5440 Ashley Islands
Morrisonview, FL 53892",YNy6KJPd#M,manager,76013,trainee-manager
Russell Moore,Melissa Fisher,cooperrick@example.com,460-864-4619,"82077 Margaret Stream Apt. 526
Gregoryborough, MT 35793",m2ce7Twu!k,manager,44080,head-manager
Megan Smith,Ronald Bowen,wilsoncourtney@example.com,+1-719-108-3328x0821,"847 Bryan Rapid
Richmondhaven, PA 83701",!Oc*OcQs(6,manager,43964,hr-manager
Whitney James,Kevin Rowland,mathewsamy@example.net,150-898-1347x54295,"87457 Coleman Dam Apt. 734
Port Christine, CO 72477",^2EluXoDa%,manager,52119,trainee-manager
Melissa Willis,William Ashley,kleinelizabeth@example.net,001-577-047-5506x44932,"88849 Gardner Port Suite 183
West Christina, MS 13877",(U8!VvUmd^,manager,72658,attendant-manager
Robert Brown,Christopher Harding,qstevens@example.com,001-569-515-2940,"33957 Robert Pine Suite 875
Taylorshire, NV 87490",%O3DL2BcKO,manager,72259,trainee-manager
William Hill,Michael Lopez,claytonstephen@example.net,657.661.8110x121,"01101 Stephanie Glen Suite 934
Davishaven, TX 28600",@2^8Lyi*G7,manager,73029,db-manager
Anthony Wilson,Jennifer Marsh,heidihowell@example.org,001-632-215-3415x949,"59153 Washington Via Apt. 047
Lake Cathy, TN 77794",86#LVtZh$%,manager,43825,trainee-manager
John Young,Amy Young,sharonbrown@example.net,989.306.1412x49144,"08440 Romero Ports
Lake Jessica, DC 61366",_+39Ds5u5t,manager,74133,db-manager
David Huerta,Timothy Robinson,christophermay@example.org,787-398-5973x4377,"21933 Carney Motorway Suite 724
Mooreberg, KS 31778",56uMb^17$W,manager,31143,stock-manager
Andrea Rogers,Donald Golden,ycoleman@example.com,569-332-8604,"8625 Rhodes Light Apt. 149
Stevensmouth, MO 21425",#JKDRxV3k0,manager,51521,stock-manager
Sheila Garcia,Christina Graham,youngcody@example.net,907-196-8270x9222,"4500 Scott Plains
South Jasonborough, NE 09441",QcKN5Jqz!(,manager,74592,stock-manager
Stephen Chavez,Bruce Hoffman,jhoward@example.com,001-399-738-8167x397,"43747 Anderson Key Suite 529
West Heather, AZ 23094",NEbx1MWfK$,manager,50911,chef-manager
Adam Collins,Tammie Watkins,janecardenas@example.org,(580)327-8183,"1214 Palmer Shoals
New Jose, NE 56949",%!*ZLu%_3z,manager,72128,stock-manager
Sean Reynolds,Jennifer Salinas,davidpacheco@example.org,6643073526,"2762 Neal Pines Suite 969
Johnsonmouth, GA 51815",B%+Ky8E(Jm,manager,47031,cleanliness-manager
Micheal Moore,Maurice Jordan,tracylewis@example.net,001-677-031-9448x7697,"963 Sarah Pike
North Christopher, NE 07648",J68Rmjsg#2,manager,34932,db-manager
Nicole Mcneil,William Allen,cbarrett@example.com,923-827-8350,"16276 Joshua Road
Mckinneystad, DC 18403",Q7SVwbt!%c,manager,51400,db-manager
Colleen Berger,Lynn Huber,amandaanderson@example.org,861.108.9976,"2855 Williams Parkways Suite 978
West Garrettland, ID 10016",W73I%Rqv%Z,manager,63667,chef-manager
John Anderson,Gary Dougherty,cynthia47@example.net,674-187-0466x0073,"07952 Joseph Station
Amberbury, AR 85870",(2xaXmed4c,manager,79977,head-manager
Theodore Marshall,Andrew Lopez,joseph80@example.com,1641738157,"8446 Cox Hill Suite 249
East Peter, OH 46588",jSZOJaSW!1,manager,45858,attendant-manager
Donna Miller,Caitlin Greene,johnluna@example.com,(543)625-8492x624,"0978 Stephanie Inlet Suite 289
North Janet, NY 29494",g^7bWB5L@1,manager,75073,chef-manager
Jamie Prince,Ariel Jimenez,ruthjohnson@example.com,569-158-5944,"415 Gregory Port
East Jonathan, NE 98685",k(RMUG8g%3,manager,77354,cleanliness-manager
Julian Holder,Colleen Cox,lindseyelizabeth@example.org,595.577.0444x32834,"6569 Phillips Expressway Suite 868
West Terri, ND 33061",Na7YCoysG^,manager,33813,chef-manager
Mariah Mcdaniel,Cynthia Castillo,benjaminroberson@example.com,(058)092-0320x7617,"606 Stewart Fords Apt. 163
East Crystal, AL 55598",+ru#eCWh3m,manager,37864,chef-manager
Christine Parsons,Noah Wagner,walterjeremy@example.net,642-567-7351x293,"30660 Ronald Orchard Suite 988
East Bethany, NJ 55087",a3Afw9J%%P,manager,66674,hr-manager
Robert Edwards,Nancy Weber,teresa73@example.com,001-106-127-0328x38440,"760 Daniel Knolls
North Christopherberg, AR 37051",sW7vVTtv+4,manager,51363,attendant-manager
Brandy Smith,Nicole Smith,charleskim@example.net,194.710.5018x60604,"81359 Cindy Neck
New Shelbyshire, CT 96621",*h6ImIO_b3,manager,79657,hr-manager
Amanda Farrell,Theresa Sullivan,paulwilson@example.org,973.435.1465x556,"2039 Roy Valley Suite 933
New Selenaview, KS 30529",B307h)TuZ%,manager,40179,attendant-manager
Connie Edwards,Amber Riggs,jademoreno@example.com,018-037-8531x6065,"PSC 4346, Box 9549
APO AE 14098",_43Wgzy*0_,manager,40264,attendant-manager
Tara Hernandez,Billy Clark,maciasdawn@example.com,507-928-2546x6418,"0417 Tracy Trafficway Suite 747
Kristopherland, NE 31222",@7sDiJypAZ,manager,37826,db-manager
Curtis Lee,Richard Wilson,boylepeter@example.net,1762948673,"961 Ward Spring Suite 252
Marytown, NV 21853",o+Tnx4Jbwf,manager,61463,hr-manager
Robert George,Victoria Mcgee,shortmadison@example.net,837.048.4833x761,"1640 Miller Cliffs
South Joyceberg, CO 31157",&WEwgYtE0p,manager,38820,cleanliness-manager
Cole Mccall,Annette Stewart,jeffrey76@example.net,001-820-726-1611x781,"0604 Rogers Springs Apt. 539
Kaitlinbury, DE 19158",)I3(5Wzb$%,manager,54251,chef-manager
Michael Hubbard,Stephen Jones,nweeks@example.com,052.287.6400,"4202 Moore Mews Suite 787
Stacyfort, NM 71660",@0FB2ImOI1,manager,42846,head-manager
Kevin Davis,William Johnson,maymelissa@example.com,728.464.9518x6965,"46653 Stein Junctions
Port Christopher, MO 05043",fRpe@PEG&8,manager,74479,db-manager
Laurie Smith,Alyssa Cooper,leecharles@example.net,503.257.9536,"894 Dixon Dam Apt. 001
New Elizabeth, KS 27564",)_s8D2%y!5,manager,36688,attendant-manager
Nathan Love,Krystal Weaver,seanlewis@example.com,+1-779-150-2166x25628,"1342 Ramirez Walk Suite 808
Josephberg, FL 08371",eC^0K^2sci,manager,73077,head-manager
Thomas Zimmerman MD,Nicole Johnson,ldiaz@example.net,520-659-1171x2447,"95801 Bailey Lake Apt. 267
Port Charlesview, IN 61725",n3gpQxnA+v,manager,77003,trainee-manager
Jonathan Davis,Cynthia Pacheco,tiffanyalvarez@example.com,(593)689-0532,"6254 Becker Hollow
West Jenniferside, WA 78574",UgUVn2tn&9,manager,61176,cleanliness-manager
Stephanie Villarreal,Karen Berger,grace72@example.net,+1-793-044-9513,"44301 Aaron Manor
Lukeland, VT 76635",L6q1Q8oI)v,manager,36412,attendant-manager
Ann Hicks,Sara Brown,michael49@example.com,001-966-261-3533,"9575 Roach Mission
Lake Tylertown, CO 12064",3ntNLD9x_j,manager,43957,db-manager
Timothy Johnson,John Johnson,jsmith@example.net,779.863.9185,"65987 Ryan Mill
Patrickshire, DE 19087",SD0&Awum%4,manager,43048,cleanliness-manager
Nicolas Fuller,Samuel Graves,andersonkayla@example.org,097.570.8118x538,"99527 Jennifer Land
Robertburgh, PA 16723",&1JXLg+hW),manager,45040,attendant-manager
Darius Simpson,Pamela Foster,schultzbarbara@example.org,001-661-513-0672x75074,"4093 Medina Wells Suite 441
Crystalbury, UT 75013",(niHC_c&F8,manager,47448,attendant-manager
Joshua Costa,Thomas Phelps,williamscathy@example.com,001-891-346-9594,"USCGC Jackson
FPO AA 23110",%_(PC!Jmk1,manager,76716,hr-manager
Shirley Powers,Jonathan Wilson,amymartinez@example.org,001-847-464-5508,"2202 Jessica Drive
Michaelbury, CO 95102",b_8e6&YyS_,manager,43866,cleanliness-manager
Michael Russell,William Mclean,pwhitaker@example.net,001-653-961-6339x70392,"050 Nicole Neck Apt. 749
Port Michael, LA 76751",t4N7EDwXH%,manager,79992,hr-manager
Michelle Wise,Derek Webb,deborah57@example.net,+1-956-311-0863,"04432 Evans Shore
South Sylvia, AK 12850",#0lZPQV(4k,manager,49238,attendant-manager
Kimberly Gray,Lee Bradley,hodgesaimee@example.com,(706)467-6185,"636 Howe Island
South Christopherview, OR 83781",Z(33AoydpJ,manager,33553,cleanliness-manager
Michael Harris,Peter Richards,alexandra35@example.com,(534)796-2209,"8612 Amanda Junctions
Lake Heatherton, GA 73020",$(KdJ*jk3S,manager,49755,trainee-manager
Patricia James,Kara Castaneda,kevinwarren@example.com,+1-539-429-0522x9400,"6223 Paul Light
Jonesville, KY 98512",!Sm1$Mygx4,manager,58732,hr-manager
Steven Hill,Robert Hopkins,jose51@example.org,960.946.3253x67522,"252 Lori Groves Apt. 800
East Edwardstad, KY 10471",o1LFAMhI+t,manager,58444,attendant-manager
David Smith,Mrs. Catherine Mcknight,kevin56@example.net,009.532.3277,"429 Barnett Via Suite 527
Port Anna, AK 69112",9b+8VqmV@4,manager,73458,hr-manager
Jeremy Solis,Daniel Bryant,gayjulie@example.net,038-197-4503x2724,"Unit 5295 Box 3714
DPO AP 07917",f#2M3rH+gq,manager,39062,attendant-manager
Austin Mccormick,Margaret Bates,roberthoffman@example.com,936-272-3507x08803,"977 Jonathan Estates Apt. 519
Zacharyborough, NM 63208",X5Neh^ww!7,manager,33380,stock-manager
Rodney Paul,Samantha Pineda,barrerawilliam@example.net,737.327.2150x47332,"58975 Misty Flats
New Allison, KS 16694",D6EZlhUZ@J,manager,75552,cleanliness-manager
Jason Patel,Dr. Thomas Williams,delgadojennifer@example.com,001-493-707-5822,"059 James Station
North Catherinechester, AK 13922",o)H4Zr85wp,manager,62724,attendant-manager
Heather Fischer,Steven Blackwell,gpatterson@example.com,126-471-8939,"83756 Klein Road
Laneburgh, MN 99357",m5bUAT_g)Z,manager,77311,trainee-manager
Nancy Wright,Chris Henry,michael40@example.org,792.769.8345x7474,"178 Aguilar Run
New Samanthaborough, OH 56275",_y#)F4st^8,manager,55762,head-manager
Allison Huber,Sarah Turner,marybarton@example.net,7870962914,"3398 Jon Squares
Ramostown, AR 46900",qh1m7yW%C@,manager,32215,attendant-manager
James Randall,James Anderson,williamsmith@example.net,(607)671-6059x41813,"PSC 3794, Box 9731
APO AA 49467",F&)85OJyYV,manager,49060,db-manager
Anthony Shah,Richard Fuller,moraleschristopher@example.net,001-043-926-4136,"452 Davidson Rue
Oconnorborough, MT 74105",&DOzF0iC2e,manager,69442,attendant-manager
Sara King,Nichole Byrd,martinmegan@example.org,853.579.9160x41077,"822 Johnson Villages
Ashleyhaven, CA 80892",(pES@j9w3Z,manager,31196,hr-manager
Michelle Bailey,Karen Simmons,kyle41@example.org,750-240-4896,"PSC 5590, Box 8326
APO AE 58201",%AGMGiRb1l,manager,71434,stock-manager
Robert Garcia,Michael Moore,martinezmariah@example.net,822.424.5829,"851 Tracey Stream
Evanville, IL 98281",3$1ShfFvQk,manager,53346,attendant-manager
Paula Weber,Kimberly Holt,diazleslie@example.net,209-667-6065x946,"1450 Prince Track Apt. 269
West Cindyport, VA 55439",@26WFgul41,manager,61794,cleanliness-manager
Julia Fuller,Jose Newton,yvega@example.com,822.749.0860,"077 Hawkins Circle Suite 323
Ericaport, ME 22105",7hAmPPGz%a,manager,68159,db-manager
Stacy Bradley,George Smith,andrew56@example.com,(686)104-6646x194,"35608 Jennifer Skyway Apt. 300
Jamiestad, CO 09483",tC4W(ToT!3,manager,69661,trainee-manager
Sherri Murphy,David Michael,csanchez@example.org,637-274-0785x18408,"58257 Sheila Valley Suite 668
New Sydney, NY 90361",*y0bSAbXHJ,manager,57068,db-manager
Steven Bailey,Matthew Grant,joy36@example.net,001-778-129-6682x51465,"9293 Sarah Lodge Suite 406
Caldwellshire, OK 42294",GW8S6x7B#m,manager,70266,cleanliness-manager
Angela Roy,Timothy Carter,christopherjenkins@example.com,7732921524,"9306 Christopher Ferry
Theresaton, IN 48758",Ru6Zu_(b!o,manager,33886,attendant-manager
Tracy Bailey,Kathryn Long,evanmorrison@example.org,563-132-6727,"23095 Richardson Summit Suite 370
Brianstad, IA 90911",_20*WOCqd_,manager,33128,chef-manager
Alicia Frost,Trevor Thompson,cynthia13@example.net,764-623-5979x6511,"1812 Peterson Track
North Laurenberg, WV 14174",r!!57TCs3d,manager,59915,trainee-manager
Judy Bowman,Tyrone Davis,lisa43@example.org,001-415-769-2919x6804,"55968 Todd Trail Suite 322
South Tammy, KY 44531",*gPFvgxWW8,manager,79516,attendant-manager
Kylie Wilson,Melissa Phillips,jason80@example.net,008-127-8926,"6620 Harrison Keys Suite 220
Port Katie, VA 05580",h6vM0VrSh!,manager,47384,attendant-manager
Kelly Jacobs,Linda Ruiz,uwebb@example.org,001-271-512-7373x73611,"74877 Garrett Hills Suite 619
New Daniel, WI 00722",&o6kRCxf@7,manager,66329,hr-manager
Timothy Mullen,Rachel Swanson,chloe48@example.com,302-689-4094x53874,"0768 Robert Village Apt. 206
Washingtonchester, VA 64865",+LXfq68q9j,manager,48950,db-manager
Rhonda Cooper,Linda Flores,smithangela@example.net,555.949.8959x42105,"535 Thompson Roads
Port Matthew, WA 94658",yQ2+UOey+C,manager,64496,head-manager
Kenneth Williams MD,Eric Bell,justin95@example.com,001-090-218-2569x2373,"039 Derek Harbor
Brianastad, MD 80875",w3FsQ3vh^G,manager,59900,hr-manager
Kathy Roach,Patricia Williams,ricardogarner@example.org,604-429-9754x73300,"2445 Santiago Bypass Suite 408
Murphyshire, NV 68058",Koh6#7LK)*,manager,52070,hr-manager
Tonya Smith,Tony Lam,jacksonbill@example.org,9230676345,"542 Benjamin Valleys Apt. 782
Gardnerburgh, MN 83288",e*G5DYy1)9,manager,62956,attendant-manager
Greg Gallagher,Alexis Wood,plopez@example.net,776-876-5391x82159,"872 Patrick River
Port David, WV 95545",eY7KH^0t+h,manager,48693,hr-manager
Ralph Christensen,Jennifer Turner,imcgrath@example.net,+1-407-074-2494x263,"09999 Amanda Court
Port David, DC 40902",aS9DLJvW&3,manager,35298,head-manager
Michael Mills,Dustin Rodriguez,jerry05@example.org,001-556-275-4789,"433 Mario Circle
South Cheryl, IL 76417",gXB1+9Vyd$,manager,41290,db-manager
Barbara Gardner,Christina Torres,mark84@example.com,001-517-796-6647,"19829 Davis Views Apt. 631
Port Jessicastad, WA 07818",qUj2Jwx1%3,manager,71924,db-manager
Alex Coleman,Amanda Stout,thompsonjohn@example.com,(314)515-0698,"9245 Patricia Walk Apt. 137
North Derrick, MD 87515",@379tlFtVp,manager,57410,attendant-manager
Casey Davis,Clarence Davis,abigail65@example.org,822.483.5654x27204,"55228 Steve Ranch Apt. 413
Williamshaven, CO 64398",@_i8Vux&kU,manager,54410,head-manager
Brett Ballard,Danielle Brown,dcruz@example.net,615-549-7096x259,"0126 Smith Inlet Suite 407
Lake Morgan, WV 76062",9q!tSrzd(L,manager,67517,hr-manager
Cathy Johnson,Joseph Williams,jeremygraham@example.net,(130)344-7105x0116,"754 Brittany Springs Suite 525
Roberthaven, WY 58595",4N6IQgpI)#,manager,57149,db-manager
Ryan Cunningham,Patricia Cox,martinezwilliam@example.net,(646)742-7357x68722,"3323 Sara Ridges
Thomasland, HI 82717",(2)FfY@hpB,manager,35908,cleanliness-manager
Joseph Marks,Melissa Gardner,cynthia07@example.org,722.162.0545x844,"60406 Carrie Shore Apt. 220
Port Robert, AL 93589",lX_7IKkxJf,manager,49676,cleanliness-manager
Dana Weber,Kimberly Smith,melissajackson@example.net,590.740.7164x16942,"4514 Kelly Forges
New Breannaport, MN 04065",(5j_Vs4ri9,manager,55273,attendant-manager
Kristi Foley,Alexandra Cole,williamsjohn@example.net,+1-085-476-4326x041,"424 Matthew Groves Apt. 091
East Markshire, NV 19694",N7dPDs%4!i,manager,38196,chef-manager
Courtney Thomas,Adrian Preston PhD,wsantos@example.org,(287)860-8197,"07904 Carson Knolls Suite 421
New Christopher, KY 28769",Mv3k^BiVP&,manager,37050,stock-manager
Tanya Hurley,Jennifer Davidson,tony19@example.com,317-094-1893x61134,"46833 Patrick Pines
West Angela, TN 22169",rH1EIEvWA*,manager,70820,head-manager
Henry Barton,Katherine Keith,bleach@example.net,308-297-9931,"93429 Jose Manor
Charlesshire, IN 00985",&ZQt4EBv6_,manager,62306,cleanliness-manager
Tabitha Nixon,Jose Copeland,vgarner@example.net,(461)451-5398x9834,"843 Obrien Creek Apt. 032
South Tamaramouth, CO 11075",8qBoHz#!(p,manager,44023,trainee-manager
Charles Wright Jr.,Amber Bowers,jeremyjohns@example.net,290-865-7583x6595,"5545 Nguyen Trail
Brooksmouth, ID 38392",_D5IqJRzq+,manager,45706,stock-manager
Kevin Mason,Kara Haas,michaelafarrell@example.org,(845)456-7429x341,"057 Teresa Union
Lake Joann, IL 05298",J7Mg&P4c&L,manager,49663,db-manager
Samuel Smith,Daniel Gutierrez,michaelanderson@example.net,597.621.9985x41945,"PSC 7500, Box 8082
APO AA 06687",!8IHtD9Doc,manager,35417,trainee-manager
Linda Cunningham,Martha Lopez,maryarias@example.org,718-988-8407x74294,"77625 Porter Passage
Guerrerostad, MA 70202",+5F&1I(ty2,manager,77092,attendant-manager
Miss Ashley Williams,Brianna Ward,barnettkrystal@example.org,547.450.6719,"2673 Linda Crescent Suite 885
Jonathanstad, NY 43270",d5X@swag$Z,manager,70704,attendant-manager
Daniel Bryan,William Nguyen,wellskevin@example.com,436.492.0326x8406,"64706 Brittney Shoal Suite 152
North Chadmouth, IL 84484",%2R^gQtr3*,manager,43923,hr-manager
James Oconnell,Kara Farmer,rcruz@example.com,(771)957-0621x84697,"67277 Murray Lock Suite 142
Deborahmouth, MS 82625",+OAq++&s+0,manager,70311,cleanliness-manager
Elizabeth Graham,Ruben Soto,lisamorris@example.net,930.702.0014x098,"4957 Shawna Tunnel Apt. 597
Maryport, VT 10530",_LvYJDzC8M,manager,54057,hr-manager
Lynn Jenkins,Eric Patton,washingtonian@example.net,5013538776,"50676 Peterson Green
Domingueztown, NY 92475",Wy4zrU_wl%,manager,71021,attendant-manager
Jason Cunningham,Nicole Cuevas,carlhayes@example.net,106.056.7323,"94276 Brandy Way
Johnsonfort, MT 79818",++d+4eIo2),manager,50448,chef-manager
Darren Martin,Kyle Sims,brianjensen@example.org,189-724-5596x22132,"640 Anderson Dale
Lake Kylechester, GA 53852",#f0R9BI7+4,manager,54237,trainee-manager
Jennifer Anderson,Katherine Hernandez,tammyjohnson@example.net,831-366-4170x38116,"74805 Cook Plaza Apt. 631
Lake Janeton, CO 57203",*OA!p#Ow4w,manager,36449,db-manager
Hailey Myers,Cheyenne Berg,uleblanc@example.net,631.740.5119x03445,"3839 Stewart Cove
Michaelshire, ND 99582",Gn76n2Eb_u,manager,30968,attendant-manager
Dana Mathews,Evan Cervantes,wbarr@example.net,821-083-5402x388,"58797 Laura Turnpike
New Craigport, NJ 10412",S5IIdXv@+a,manager,58712,hr-manager
Mary Newman,Peter Bender,ipham@example.net,009-549-1723x261,"Unit 8747 Box 3674
DPO AP 01481",i4B1Bjx1d*,manager,60614,chef-manager
Manuel Wilkinson,William Fitzgerald,raymond64@example.com,3105680176,"9035 Micheal Loaf
East Kathytown, MA 92899",Ie)9NeyAQo,manager,75293,head-manager
Robert Riley,Danny Hopkins,tiffanynavarro@example.com,+1-825-925-5474x5357,"2299 Freeman Pass
Dunnfort, NJ 64320",ooa&1IOu(e,manager,61188,cleanliness-manager
Sandra Robinson,Christopher Pena,matthewlindsey@example.net,001-228-761-0794x779,"064 Jamie Path Apt. 270
Jennifermouth, MN 77700",AN)1CFvtER,manager,38911,db-manager
Jerry Hall,Stephen Morgan,jbush@example.net,655.518.2456x96961,"PSC 0871, Box 7074
APO AA 67076",*0$9GcX3)1,manager,71171,stock-manager
Jason Harrison,Jeffrey Kaiser,arthur05@example.org,(072)464-4157x559,"838 Williams Isle
East Mariahaven, CA 54334",%2OZAp+fn!,manager,74267,attendant-manager
Grant Lee,Rebecca Sullivan,adam19@example.net,194.944.0327,"625 Shepherd Mission
Lake Christopherside, WA 11818",0fM7*RQe&2,manager,57601,db-manager
Jennifer Gray,James Perez,mccoycharles@example.com,260-085-4180,"81848 Murray Keys Suite 728
North Deborah, DC 57165",zQ586Ast_3,manager,58958,cleanliness-manager
Carolyn Jordan,Jenna Jackson,ywilliams@example.net,+1-664-940-8605x8274,"4008 Brittney Villages Suite 330
North Larrychester, OH 21658",X3#XCHsP@I,manager,39532,cleanliness-manager
Steven Khan,Kayla Alvarado,jonathanwaller@example.net,876.192.2931,"80683 Price Wall
East Catherine, KY 68896",jg4SBzsh^V,manager,67098,attendant-manager
Dr. Dalton Smith,Adrienne Willis,pamelafrazier@example.net,2004592525,"187 Raymond Mount
South Pamela, AR 15156",UX_21UKy4e,manager,39658,attendant-manager
Ashley Allen,Edward Roberts,kbrennan@example.com,480-048-5796x5945,"Unit 1017 Box 6933
DPO AE 57298",lz2uLLD+V),manager,72615,attendant-manager
Matthew Barton,Robert Mcclain,lopezkristina@example.net,333-404-6898,"3773 Mary Burg Suite 520
Yangside, GA 16934",)6%YoKkucM,manager,60387,stock-manager
Patricia Wilkerson,Crystal Wu,lsmith@example.com,027-741-3747x964,"0440 Michael Garden
East Shannon, MD 01584",f8jFWXTh*L,manager,35685,trainee-manager
John Osborne,Kenneth Warren,choffman@example.com,302.923.5913x1935,"839 Cox Road Suite 933
Lawrenceville, FL 99529",(yVX7XTzE),manager,79331,attendant-manager
Jennifer Miller,William Wilson,joshuanguyen@example.com,001-008-251-2079x18333,"7520 Christopher Route
Lake Andrewborough, MI 99396",DC#8J%2huw,manager,34625,attendant-manager
James Stewart,Brian Clark,vincentjohnson@example.org,564-381-7947x73055,"949 Sonya Summit Apt. 664
South Carolside, HI 61919",(v4HmraSgC,manager,40859,stock-manager
Melissa Howard,Brian Freeman,rochatonya@example.org,(496)806-8054,"3378 Natalie Extension Apt. 032
Yangborough, KY 58038",%cQxL9fmd9,manager,79420,trainee-manager
Alex Parker,Michael Sanford,nicole40@example.net,181-197-2465,"789 Medina Shore
Williamsburgh, RI 05984",3#1^L0ylJ$,manager,68887,db-manager
Stacy Mccullough,Ethan Smith,ricky42@example.com,4361400496,"662 Kelli Way Suite 134
Loweside, KS 71497",cz)1W3Tt_E,manager,73345,db-manager
Christy Young,Brent Smith Jr.,matthewmorris@example.net,001-250-880-7150x95610,"519 Paul Rue
Kathrynshire, IN 44662",e52VcyP1@s,manager,56298,trainee-manager
Heather Jimenez,James Henderson,brookebennett@example.org,001-469-093-8683x443,"0520 Williams Crossroad Suite 284
Solisview, MO 22246",f1PYldQp+f,manager,71825,cleanliness-manager
Brenda Garza,Wanda Gonzalez,chad47@example.net,171.026.8580x744,"PSC 0800, Box 5056
APO AP 18043",s@88LgjaOt,manager,71246,db-manager
Sylvia King,David Vasquez,carolineduffy@example.com,+1-919-340-9104x786,"1899 Todd Cliff Suite 708
Collinstown, GA 17063",_^9T9Xfbe!,manager,48890,attendant-manager
Kevin Gentry,Jared Clark,andrew10@example.net,(395)547-3451x21373,"725 Carr Lakes
New James, OH 03895",)W+9Nlm2XW,manager,47482,db-manager
Grant Kirby,Joshua Cook,briangrant@example.net,379-117-8175,"335 Thomas Locks
West Sarah, RI 66547",!w0@pW+lk#,manager,54252,db-manager
Sheri Hickman,Christina Valdez,randall26@example.com,950.101.2389,"39811 Cindy Station
Mistyport, KS 28992",F7NA+R%u_z,manager,52846,attendant-manager
Teresa Moore,Alyssa Kirby,ryanchristopher@example.net,001-150-514-8303x948,"4914 Lee Port
Martinmouth, NE 60852",OPy6PxYq$B,manager,63383,attendant-manager
Raymond Welch,Michelle Marshall,donald61@example.net,614.664.6336x9123,"55584 Hansen Park Apt. 037
Scottbury, WV 82424",4FCWBctp#Y,manager,64013,head-manager
Jason Martin,Jennifer Clay,mccarthycatherine@example.net,+1-178-333-5732x3276,"37652 Haas Squares Apt. 693
East Madisonbury, AR 40533",$5FnGIcSmY,manager,52852,head-manager
Michael Goodwin,Jason Fisher,stephanielara@example.org,(282)391-2078,"30050 Alicia Route Apt. 149
Wallacefort, AZ 10561",5CbNmA0@$7,manager,32532,attendant-manager
James Berry,Robert Cox,vtucker@example.net,6505957318,"40162 Miller Glens
Gonzalesview, TX 78506",F1O&V1Am#6,manager,47160,trainee-manager
Jacob Campos,Elizabeth Hurley,parsonsmichelle@example.net,8753707555,"832 Brittney Forks Apt. 591
North Monicaside, IL 60006",A2SHAzNe%m,manager,31780,hr-manager
Ernest Cook,Michael Perez,daniel83@example.org,001-051-372-1992x213,"61082 Decker Plaza Suite 546
Catherinehaven, IL 81899",!^W3RkHr)u,manager,55843,stock-manager
