user_name,emp_name,email_id,phone_number,emp_address,emp_password,emp_role,salary,specialization
Jessica Johnson,Bethany Anderson,nancy31@example.net,818-655-3486,"76146 Pitts Flat
North Calvin, TX 67482",%8^QGec+J5,chef,43481,Eritrean
Laura Ramirez,Eric Irwin,shawnabrooks@example.net,010.738.4404x0019,"1471 Scott Port Suite 237
Shawberg, CA 26441",%l_6^YTay7,chef,41480,Argentinian
Christina Erickson,Cheyenne Clark,nicolebrown@example.org,174.960.8678x8088,"377 Sullivan Villages Apt. 943
Russellville, NE 86173",_(S85JwiyZ,chef,31788,Equatorial Guinea
Miss Amanda Frazier,Monica Barnes,crystal83@example.org,360.738.7744x9799,"1022 Jackson Gardens Apt. 711
Johnsonland, ND 74596",$9UOxip3+z,chef,47689,Tanzanian
Juan Cross,Sarah Zimmerman,curtiskimberly@example.net,666-457-6961,"03483 Joshua Locks Suite 035
Brownchester, IN 05132",^2vCWcO9H@,chef,65800,East African
Roger Morgan,Kathy Gill,jordansharon@example.org,+1-391-374-7109,"122 Robert Lock
East Antoniofort, NY 06433",%z3Me+yNO7,chef,40906,Centrafrican
Jason Ramsey,Todd Pierce,garciabrooke@example.org,001-901-327-7371x0474,"691 Clayton Grove Apt. 719
Lake Jessicaside, NJ 21844",Q48O1imuk),chef,36085,Centrafrican
Robert Todd,Jody Gallegos,george42@example.net,001-694-631-5657x20620,"3969 Cynthia Ports Apt. 130
North David, VA 63604",%8Ut!voL@Q,chef,51545,South Sudanese 
Ashley Patel,Jennifer Davis,cheryl34@example.org,001-295-043-5841x968,"341 Janice Loaf Apt. 737
New Brian, MA 87322",Zp3EvEUY(!,chef,74400,Santomean
Derrick Washington,Margaret Solis,christine65@example.org,001-947-815-8173x39203,"16198 Kathy Ville Apt. 219
South Williammouth, AK 34106",9R9HI(Qe$l,chef,44634,Ugandan
Eric Medina,John Conley,denise81@example.com,615.416.9216x7970,"646 Wells Avenue Apt. 196
Port Robert, KY 08966",p$7mv*Yf3y,chef,76426,Centrafrican
Michael Mason,Barbara White,brownchristopher@example.org,149-125-6713x69880,"59603 William Shoal Apt. 374
South Kristy, NY 99891",^GlzE8Dd^$,chef,72426,Rwandan
Christine Barber,Lisa Bond,bennetthannah@example.net,058.367.0015,"USS Martinez
FPO AA 72215",N2o5O&Wo@8,chef,49703,Congolese
William Stephens,Michael Young,wjenkins@example.net,(415)629-1718x20352,"1731 Mcdonald Fords Suite 287
Griffinshire, MD 14215",@SR$QmrY4w,chef,34297,Rwandan
Ronald Mills,Duane Gregory,matthew93@example.com,813-843-0514x48288,"114 Leon Plaza Suite 560
Gardnerhaven, NH 72316",G@6GHlXb$S,chef,52290,French
Anne Bradley,Vanessa Flores,jefferywade@example.net,080-263-2355x08626,"8920 Kathy Lodge Suite 636
South Dawn, CA 40113",C*tI@n1x)4,chef,37081,Argentinian
Stephanie Kennedy,Desiree Marshall PhD,elizabethwalker@example.org,001-491-902-7833x50665,"7497 Jonathan Crossing
Kristyfort, NM 95805",cP7mY46y!3,chef,70322,Chadian
Mary Howard,Carrie Lin,mitchell93@example.net,001-412-756-3514x7785,"6030 Samuel Pike Suite 433
Port Bethany, IN 59736",O&8HCxSH0d,chef,60220,Tanzanian
Shannon Brown,Tina Jackson,buchananmark@example.org,533.377.0839,"31825 Wilkerson Place
New Michelleport, AK 15791",_*HWOyHc+9,chef,51085,Centrafrican
Danielle Moore,Pamela Hansen,samantha21@example.org,252.398.8258x31793,"961 Hawkins Stream Apt. 499
Annechester, KY 04715",&dAWXY!uy3,chef,41910,East African
Patricia Hammond,Jared Griffin,jamesdavid@example.com,(085)593-9515x6987,"4218 White Avenue
Bobbyfurt, CO 05301",($46JrfrV9,chef,70408,Angolan
Trevor Matthews MD,Alexis Diaz,johnsonchristopher@example.com,788-114-3427,"007 Robert Pike
Lake Michaelberg, KY 58694",@E3MppEd+%,chef,70390,Djiboutian
Kimberly Luna,Ashley Coleman,jpeterson@example.net,764.005.0608,"167 Lozano Islands
Edwardmouth, FL 65606",uv2nNj+i*!,chef,74079,Angolan
Alyssa Walker,Brian Phillips,geraldjensen@example.com,830.751.3313,"13750 Lisa Islands
Port Josephburgh, MA 59125",r1sD3UZrN^,chef,79372,Argentinian
Peter Farrell,Todd Coleman,johnsonsydney@example.org,001-717-194-1033x68977,"87806 Doyle Road
Brittanyfurt, NE 22687",7iE8Xqvb^s,chef,47222,Somali
Carla Jackson,Melissa Miller,rclark@example.org,514-350-7305,"PSC 1318, Box 7669
APO AA 20854",!etU%StWz7,chef,58500,Chadian
Robert Ward,Kiara Nelson PhD,sara45@example.net,(590)621-3903x598,"18629 Courtney Path Suite 408
West Ashleyborough, MA 71050",(iWYt%bEB8,chef,74826,Lebanese
Kelsey Gill,Thomas James,kelly53@example.net,+1-242-461-4114x7419,"798 Thompson Streets
Mcdonaldburgh, RI 38930",7t0sXCw3(B,chef,56481,Eritrean
Rachel Becker,James Anderson,ibriggs@example.net,0023724401,"6522 Williams Rapid Suite 321
Williamschester, NM 87693",_#DxeMDtW9,chef,78385,Argentinian
Nathaniel Clay,Benjamin Martin Jr.,itorres@example.org,(662)191-6180x35574,"8743 Roberts Viaduct
Morrismouth, PA 20453",0cWWa@3t(7,chef,38074,Lebanese
David Diaz,James Roth,mcfarlandalexander@example.net,+1-804-547-2012x703,"1251 Isaiah Brooks
West William, IA 53498",o9ZC+Uwn(p,chef,35415,South Sudanese 
Douglas Cole,Bryan Jones,zolson@example.org,(370)995-2580x3407,"167 Frey Stream
Brightmouth, NE 23935",%$&@25Ij(O,chef,56557,Gabonese
Cameron Torres,Danny Green,jessicaware@example.org,516-426-8418x18254,"73386 Fisher Parks
Houseberg, IL 74828",O5mZw2KeC^,chef,41561,Tanzanian
Jamie Hernandez,Jeanette Newton,dcline@example.com,(911)047-7654,"2881 Denise Square Suite 276
Mitchellbury, UT 72122",1XI6llu#*^,chef,54101,Rwandan
Caleb Keller,Stephanie Carlson,lcohen@example.net,+1-532-246-5484,"7384 Lynn Mission Apt. 959
Jillfurt, AZ 35757",U#1aWPBc+p,chef,53959,Cameroonian
Kimberly Rodriguez,Steve Lara,brandonroberts@example.com,747.210.2085,"300 Howell Cape
Craigside, NE 18002",(IfKYP8bT!,chef,38085,Angolan
John Blanchard,Megan Fletcher,wardchristina@example.org,8430590702,"5804 Stephanie Points Suite 800
Smithmouth, MN 12079",+7kvGAcEpm,chef,31018,Bolivian
Thomas Rubio,Gary Erickson,tamaranunez@example.org,166.252.0804,"912 Dawn Via Apt. 142
Dianefort, ID 41903",k)&4Nk6iQ&,chef,61841,East African
Dr. Gary Harvey,William Velasquez,ocollins@example.net,611-298-7157,"1328 Heidi Estates
South Michaelburgh, HI 18515",if2GZ)!c^2,chef,63457,Equatorial Guinea
Rachel Barnes,Yolanda Mitchell,kathleen78@example.net,870.961.1572,"2843 Joseph Mountains
Delgadobury, KS 28062",&8%+DsZx^B,chef,43519,South Sudanese 
Kimberly Bartlett,Jennifer Hinton,lbrooks@example.org,517.842.2078x77487,"157 Mcdonald Mountain Suite 710
North Amy, DE 22578",Ej^hb7Ay$a,chef,73128,East African
Christine Mendez,Michael Parker,awhite@example.com,001-253-535-4817x34269,"50548 Jones Track
Rachelfurt, MA 14133",$7HFgoh8z(,chef,73600,Djiboutian
Paul Barron,Steven Davis,deannaduncan@example.com,(671)975-1287x28107,"499 Caldwell Wells Apt. 206
Kingshire, UT 02397",&3iS9YlAh!,chef,65316,Gabonese
Renee Jones,Tyler Alvarez,allison99@example.org,(391)836-5743x73355,"USNV Wells
FPO AE 62516",@Kj^4XhpTb,chef,30849,Rwandan
Mrs. Katherine Baxter,Becky Garcia,mark99@example.com,092.067.8356x559,"9704 Martinez Lock Suite 027
Michelleport, AR 44858",%29wFqgyWc,chef,54359,Kenyan
Joshua Lopez,Yolanda Gonzales,myersarthur@example.org,001-175-772-5366x47648,"1408 Jody Estate
Chavezborough, IN 63064",B7bGauYpG&,chef,47733,Kenyan
Mr. James Martinez MD,Tanner Buck,nataliejohnson@example.org,001-030-818-3344x8889,"43729 Reynolds Motorway
New Jesusland, MI 48173",^4Ud7NYfH_,chef,78268,Somali
Micheal Campbell,Michelle Silva,timothy26@example.net,001-934-548-7862x6303,"688 Randy Springs
South Deanna, AL 92234",(4DIX3jB6r,chef,71256,Gabonese
Benjamin King,Joshua Patel,brookehester@example.net,013-386-9301x69474,"USS Martin
FPO AP 11549",1DE$_1Lm)g,chef,57071,Argentinian
Justin Kramer,Matthew Weeks,christophermoreno@example.org,+1-115-600-7367,"985 Tonya Stream Suite 350
Port Jennifer, LA 43135",6qDDhTNw_(,chef,76069,South Sudanese 
Kimberly Pugh,Karen Clarke,ernesthanson@example.com,001-252-240-9262x853,"9257 David Roads
West Charles, WI 71140",696GyRww!f,chef,55872,Centrafrican
Tiffany Floyd,Stephanie Gentry,dmartin@example.org,079.543.5647,"Unit 3023 Box 4194
DPO AE 29915",4C*3TPvfZn,chef,57894,Kenyan
Michael Watkins,Rebecca Cain,paulbarton@example.org,(761)531-6359,"42814 Johnson Square Apt. 847
Stevenborough, MI 22490",(w2lRaZdQi,chef,78733,North African
Lisa Roach,Denise Silva,downsaustin@example.com,+1-700-174-2402,"84040 Samantha Stream
Christopherside, GA 08720",#3ldH*TgXq,chef,45977,Maasai
Samantha Fitzpatrick,Frank Huynh,higginsjames@example.org,(952)171-1727,"732 Jeffrey Falls
East John, TX 58017",Ug@M7sNyzW,chef,77929,Zanzibari
Austin Wheeler,Brian Dickson,vjimenez@example.com,(084)144-3474x41532,"USNS Jimenez
FPO AE 91018",@wK03VEyt2,chef,61244,French
Chad Stanley,Denise Martinez,nicholas77@example.com,387.018.9255x6079,"2069 Wall Viaduct Apt. 777
East Danielletown, OH 45415",N_f3XSlnJ@,chef,32215,Eritrean
Andrew Villegas,Jason Baker,grahamlauren@example.com,(913)463-8793,"59104 Brown Club Suite 062
Jillshire, OK 37477",umY2*F2K*1,chef,35346,Angolan
Kyle Rose,Kelsey Harmon,shannonjarvis@example.net,1804333937,"934 Mark Court
Webermouth, UT 12904",A#7VPfcon+,chef,79976,Tanzanian
Marcus Franklin,Kimberly Howe,matthew44@example.com,+1-560-236-7447,"5528 Jones Square Suite 880
Gonzalesstad, RI 13043",e0EN6Dbg$X,chef,46342,Ugandan
Sara Jones,David Greer,vwest@example.com,416.792.9672x5803,"00717 Heather Ranch Apt. 414
East Valerieshire, WY 22777",@&01ZJHj7f,chef,57857,French
Christine Watkins,Kevin Nguyen,emily17@example.com,009-295-3753x236,"39957 Aguirre Field Suite 439
Bryanthaven, SC 52200",HHe39wuzm(,chef,62762,Argentinian
Mary Garcia,Meghan Carter DDS,dennis12@example.com,+1-313-442-2030x161,"5061 Patterson Roads Suite 936
Douglasmouth, IN 62548",r0GcmXqE)k,chef,47488,South Sudanese 
John Barajas,Nicole Hall,danielchapman@example.net,248-138-7173,"9757 Tammy Trail
Lake Stacymouth, ME 36782",$d8D3MCoL#,chef,79334,Kenyan
Maria Davidson,Wesley Young,wsmith@example.net,238-342-0208,"4676 Owen Course Suite 293
Richardland, CT 06052",%0Iztc9ocz,chef,45049,North African
Laura Moss,Gabriel Lewis,kellyalicia@example.net,001-370-483-9611,"3330 Molly Extensions Apt. 027
Lake Jennifer, NE 98049",!oMvQUCq*9,chef,30724,Rwandan
Sara Smith,Andrea Gibson,michael36@example.org,449-006-0728x98347,"PSC 1163, Box 3887
APO AE 70374",C)6UAM7ou2,chef,64540,Eritrean
Gregory Anderson,Connie Carter,jonesjonathon@example.org,(719)647-3033,"54124 Nicole Freeway Apt. 584
East Reginald, OH 21011",g_E*c1El+J,chef,42915,Djiboutian
Kathryn Warren,Ashley Ward,jennifer74@example.org,+1-025-865-3309x50695,"908 Boone Stream Apt. 977
Danielberg, IL 00643",(5+3C2Aww@,chef,42082,French
Jerry Frederick,Craig Smith,imartinez@example.com,567.630.9693x62064,"Unit 5742 Box 5531
DPO AA 38680",@7O_#Ana9S,chef,66644,Somali
Jay Rivera,Debbie Price,john91@example.org,991.096.2599,"56593 Acosta Landing Suite 023
Aaronville, MT 34060",5@KpMuAR$B,chef,41329,Equatorial Guinea
Gina Sanchez,Wendy Sanchez,nvargas@example.net,(732)649-3378x91720,"0331 Bruce Parkways
New Davidfort, FL 26029",#TB2LtTp+8,chef,76556,Angolan
Tiffany Guzman,Mckenzie Morgan MD,nicholas18@example.net,+1-088-881-1545x9922,"971 Wong Cliff Suite 720
Moorechester, ND 47261",#q9QdgbdBs,chef,75700,Djiboutian
Evelyn Campbell,David Garcia,rebecca76@example.com,(980)877-6862,"2539 Scott Via
Justinview, WV 09793",&4luDtkmmf,chef,55925,Equatorial Guinea
Lee Dunn,Cynthia Newman,parkangelica@example.net,353-675-2838x8852,"4073 Samantha Well
Port Joel, AZ 62008",#P8B)gpbG(,chef,57118,Eritrean
Kimberly Castro,Sarah Jones,askinner@example.net,+1-048-663-0567x817,"5517 Peters Mission Apt. 566
South Kevintown, FL 47702",+)0X8G5a8j,chef,31339,French
Mary Gill,Bradley Jones,fstewart@example.com,397-161-7389x94766,"409 Lauren Trafficway
Roberttown, DC 27064",jOm_J8Ok^A,chef,71819,Bolivian
Matthew Torres,Luis Moore,christopher45@example.org,9178085209,"64859 Jacob Ridge
East Jennifer, CT 88438",h1v!$6EsA4,chef,77001,Djiboutian
Jessica Hunter,Frances Edwards,lynn77@example.com,(098)933-0009x0981,"26891 Watson Parkway Suite 451
Lake Shawn, IL 83177",_UaXR#Lk9V,chef,43491,Eritrean
Jesse Gonzales,Tammy Jones,pgreer@example.net,(387)675-6980x25206,"5886 Fernandez Wall
Shaneberg, IL 82831",yKklCQhd!0,chef,47245,Angolan
Deborah Miller,Angela Sims,elaine32@example.com,4355743553,"93876 Edwin Fields Apt. 259
Lisashire, FL 36485",KS7OW$lg)s,chef,76699,Ethiopian
Amber Merritt,Carmen Simpson,jodyscott@example.org,295.068.6398,"4705 Johnston Circles
Lake Cameronfurt, PA 66107",#LfXw1)79c,chef,77015,South Sudanese 
