user_name,emp_name,email_id,phone_number,emp_address,emp_password,emp_role,salary,fired,skill
Eric Bell,Kristin Poole,krista00@example.net,506-783-2230,"734 Leslie Lights Apt. 436
Tanyafurt, WI 21058",@4MdQ7SR(i,manager,37864,False,chef-manager
Nathan Espinoza,Matthew Harrison,spetersen@example.com,6443567009,"7213 Richmond Mills
East Ericburgh, MT 65271",f7EvBVox)u,manager,66674,False,hr-manager
Kimberly Garrett,Erika Curry,larmstrong@example.com,297.360.6741,"23831 Parks Mountains
West Nicole, OK 84163",d!66tzCN@s,manager,51363,False,attendant-manager
Derek Gardner,Cheryl Nguyen,aaron66@example.org,388-205-0250x936,"554 Karen Highway
New Jacob, DC 93361",2s3)SYv^!q,manager,79657,False,hr-manager
Jonathan Velazquez,Tamara Houston,lmurillo@example.net,(742)728-6434x70402,"USCGC Olson
FPO AE 45090",MhH!qfea+3,manager,40179,False,attendant-manager
Shane Hunter,Amanda Perez,drowland@example.org,608.530.5191,"2542 Nicole Highway Suite 784
East Jamesland, AZ 69290",#1SFKEPo(B,manager,40264,False,attendant-manager
Douglas Peterson,James Benson,lynnlong@example.org,+1-454-948-6112x15993,"866 Crystal Heights
North Jessicaton, CA 76242",0%9EaYYb5L,manager,37826,False,db-manager
Douglas Perry,Kimberly Ponce,zmartin@example.org,2043836067,"7800 Davis Forks
Allenmouth, LA 61774",2b#rUY8y)D,manager,61463,False,hr-manager
Penny Nielsen,Linda Reese,adkinsrichard@example.com,747-910-2228x158,"265 Foster Meadow Apt. 576
Josephmouth, IN 86067",JJ7a$tKz*W,manager,38820,False,cleanliness-manager
Matthew Arnold,Timothy Rogers,pjones@example.net,4159215046,"5749 Walker Glens Apt. 811
Woodsberg, KS 10180",lE8%8Terd_,manager,54251,False,chef-manager
Michael Coleman,Amanda Jackson,andreashaw@example.com,308.765.1341,"8065 Karen Harbor Apt. 299
Jamesfort, OK 97990",aX!M9CNqV$,manager,42846,False,head-manager
Cristian Gibson,Jeremy Burton,cwhite@example.net,(833)330-6110,"65036 Lauren Valley Suite 777
Smithborough, WV 07135",RLo6Izo*p!,manager,74479,False,db-manager
Emily Johnson,Drew Webb,haguilar@example.net,198.241.8687x83988,"PSC 8747, Box 5150
APO AA 99071",S&3+OO*wc7,manager,36688,False,attendant-manager
Casey Coleman,Christina Soto,alexanderlogan@example.net,465-767-9517,"681 Brittany Camp Apt. 143
Lake Lauren, DC 55528",(VnXKxy%I6,manager,73077,False,head-manager
Hannah Dickerson,Debra Peterson,nathanielbaxter@example.net,+1-206-977-3831x522,"9152 Drake Keys Apt. 308
Bowersview, PA 43210",@WDqa3L0A7,manager,77003,False,trainee-manager
Taylor Mills,Rachel Jones,patrickfuentes@example.com,407-274-2222x211,"9915 Padilla Land
West Robertfort, SD 39359",jSF0NnEoN(,manager,61176,False,cleanliness-manager
Albert Shields,Calvin Campbell,dianashaw@example.net,+1-560-420-4651,"4879 James Trace Apt. 730
East Brandon, NH 76836",#rWG$PnX(3,manager,36412,False,attendant-manager
Tina Medina,Sarah Barber,robin86@example.com,001-850-585-9636x07033,"641 Robert Lakes
New Sarahshire, AK 58400",$2E@ym*d8R,manager,43957,False,db-manager
Christine Fuller,David Mitchell,steve91@example.com,091-039-6135,"8106 Laura Lodge Apt. 444
Brianfort, CO 52363",%8GliUsWy#,manager,43048,False,cleanliness-manager
Marissa Contreras,Sharon Bender,vicki34@example.com,615-482-1198x56383,"USNV Snyder
FPO AE 20896",((5XAa7a&4,manager,45040,False,attendant-manager
Jackson Erickson,Denise Smith,barkerkimberly@example.org,+1-044-009-5478x7429,"2395 Michelle Harbor Apt. 443
Kellyburgh, OR 94444",(anO3@Zf*7,manager,47448,False,attendant-manager
Jessica Rogers,Sharon Clark,nbooth@example.com,832-371-2145x44635,"770 Misty Isle Apt. 081
Thomasbury, DC 96536",(4uEdGnbRz,manager,76716,False,hr-manager
Elizabeth Taylor,Joy Reid,eric64@example.net,756-892-7821x96610,"9932 Roberts Circles
Davidborough, DE 29574",)J7$Jzyx^Q,manager,43866,False,cleanliness-manager
Tim Everett,Joshua Porter DVM,vdavis@example.com,001-838-683-1230x4533,"888 Nelson Groves Suite 013
Tommytown, MN 83652",qa5B#zYz*2,manager,79992,False,hr-manager
Frank Sandoval,Michael Bell,zjimenez@example.org,461.236.3075,"164 Kenneth Burg Apt. 285
Blackchester, CO 02977",ns%5BZ4hBJ,manager,49238,False,attendant-manager
Shawn Weaver,John Gutierrez,yirwin@example.net,5293638979,"044 Luna Shoals Suite 552
West Natalie, HI 73608",F8(8G4ls_1,manager,33553,False,cleanliness-manager
Judy Stout,Anthony Allison,albertalexander@example.org,817-913-3882x41342,"0745 Cook Plains Suite 649
Christyport, NE 37086",_^L%ZcyA*7,manager,49755,False,trainee-manager
Max Delgado,Lauren Adkins,zmolina@example.com,+1-309-190-7274x626,"PSC 6738, Box 0284
APO AA 96766",9A5m6Gb^)@,manager,58732,False,hr-manager
Sandra Martin,Jennifer Adams,hobbschristopher@example.net,+1-119-975-9328x51111,"3451 Mclaughlin Drives
Jessicatown, DE 11866",Vw!5A^x1gE,manager,58444,False,attendant-manager
James Mcdowell,Brandy Butler,kathleen75@example.com,001-270-856-0444x05700,"9773 Fowler Light
Kennedybury, NV 04931",_P4!NfbUq7,manager,73458,False,hr-manager
Joseph Knight,Henry Castillo,fbaldwin@example.org,+1-112-071-4118,"986 Rodriguez Gateway Apt. 452
East Natashafurt, AZ 51866",i86abkPq!l,manager,39062,False,attendant-manager
Lindsay Brown,Diane Hill,wadams@example.org,591.083.6581x9688,"33062 Rebecca Plaza
New Tiffanyburgh, NJ 30867",+85gkFak!f,manager,33380,False,stock-manager
Laura Lowe,Troy Stevens,carriechavez@example.net,(071)719-9464x685,"1463 Delgado Skyway Apt. 583
Lake Michelechester, VT 88475",&^2Pt&Zhv^,manager,75552,False,cleanliness-manager
Renee Potts,Cheryl Walker,kenneth87@example.com,858.998.1293x07013,"806 Garcia Cliffs
Sheilashire, NV 03969",0KG+TSv&@p,manager,62724,False,attendant-manager
Tiffany Miles,Derrick Lambert,thayes@example.org,789-625-8257,"1914 Kevin Fort Apt. 682
Gregoryville, NC 12281",!$0D7imk_@,manager,77311,False,trainee-manager
John Johnson,Lisa Mccullough,omerritt@example.net,584.106.1760x19251,"7543 James Curve Apt. 844
West Laura, AK 23935",06N65gqu%e,manager,55762,False,head-manager
Patricia English,Lindsey Hamilton,jayhawkins@example.org,879.761.2927x80766,"54245 Daryl Shoal
South Randymouth, RI 15064",&iO5PYea_3,manager,32215,False,attendant-manager
Shaun Thomas,Sally Graham,jessicaanderson@example.com,031.665.0876x313,"2896 Lewis Turnpike
East Luiston, PA 74170",)_3zy5Ki)A,manager,49060,False,db-manager
Cathy Obrien,Robert Bautista,jamesortega@example.org,580.902.2834x49364,"29721 Flores Brooks Suite 141
Kathyport, HI 35967",Y+9PpEgJ7),manager,69442,False,attendant-manager
James Flores,April Stone,zbaker@example.org,(018)813-0118x79068,"USNV Burgess
FPO AP 46522",_7lV3MFt@K,manager,31196,False,hr-manager
Kimberly Brock,John Dunn,timothymendoza@example.net,+1-653-755-0958x125,"9721 Thompson Bypass Suite 003
Lake Dakotaville, DE 23118",05XDOzCf%b,manager,71434,False,stock-manager
Angela Harris,Paul Chapman,sparker@example.org,001-806-827-3854x14771,"796 Ian Valley
Lake Davidview, KS 78991",II1X*myyD_,manager,53346,False,attendant-manager
Kari Cruz,James May IV,ryanmartinez@example.net,430.868.1310,"29496 Jill Port
Smithland, WA 89463",N_QN1YcXKu,manager,61794,False,cleanliness-manager
Spencer Wilson,Taylor Bailey,gonzalezcathy@example.com,9334926574,"PSC 2922, Box 0115
APO AA 21239",J_0gMVhlz5,manager,68159,False,db-manager
Daniel Kerr,Kimberly Gillespie,williamgriffin@example.com,863-996-7965x60994,"38805 Fox Park
Allisonmouth, FL 14054",tT1jkL$w8),manager,69661,False,trainee-manager
Nicole Hill,Paul Lewis,dominiclee@example.org,588-033-6557,"9507 Deborah Path
New Edwin, FL 71132",zrdQK8Hpx%,manager,57068,False,db-manager
Mary Johnson,Isabel Manning,bakerbonnie@example.org,+1-639-629-2599x68055,"0709 Brett Spurs
Hesterchester, CT 41206",#tn3WFv(f7,manager,70266,False,cleanliness-manager
Pamela Gonzalez,John Castaneda,cynthialawson@example.com,(867)304-3765,"439 Eric Shores
East Lauraville, DE 15565",XBUo%FZ2#3,manager,33886,False,attendant-manager
Raymond Franklin,Evan Santana,framirez@example.org,001-417-985-7942x701,"384 Dylan Stream Apt. 221
South Christopher, TX 03774",#XGZDc@bQ0,manager,33128,False,chef-manager
Corey Martin,Raven Lynch,billsmith@example.com,+1-298-580-8450x179,"864 Eric Courts Apt. 123
Port Jennifer, AZ 82557",%2GzImafR8,manager,59915,False,trainee-manager
Stephanie Ray,Michael Fisher,haleyjennifer@example.org,016-161-2002x4528,"82111 Heather Walk Suite 530
Johnstonborough, CT 02559",1sj%5ZGd4H,manager,79516,False,attendant-manager
Connie Blackburn,Gregory Wallace,scott26@example.net,221-013-3844x8484,"532 Horton Garden
Matthewhaven, CT 47093",#BKM!y+(42,manager,47384,False,attendant-manager
Krista Dominguez,Patricia Odonnell,davenportamanda@example.com,2851197730,"67592 Roy Stream Apt. 049
Holtbury, MA 60718",32WRx#bs+_,manager,66329,False,hr-manager
John Davis,Chase Allen,angela90@example.com,001-798-515-1580x01932,"8663 John Squares
Dianamouth, VA 21823",$46YGEhz!z,manager,48950,False,db-manager
Alyssa Lee,Stacey Vaughn,elizabethjimenez@example.net,+1-967-705-0229x0273,"223 Lucas Burgs
South Michaelfurt, AR 57419",f4&NAA^@!p,manager,64496,False,head-manager
Rebecca Jackson,Holly Padilla,cynthia89@example.com,(259)912-4455x3867,"78528 Dickson Springs
New Laura, OK 19954",(#!e3GCexV,manager,59900,False,hr-manager
Erik Andrews,Mary Matthews,kara68@example.org,+1-962-829-2032x999,"PSC 1792, Box 8275
APO AA 35198",#WMkj4nx38,manager,52070,False,hr-manager
Jorge Mcguire,George Walker,mariawoods@example.org,036-083-9628x3515,"04287 Morales Ports Suite 140
North Billy, LA 27939",O$R8eSxmwD,manager,62956,False,attendant-manager
Taylor Perkins,John Allen,ryan46@example.net,+1-659-121-1207x416,"756 Mitchell Burg
Seanland, FL 45638",n#FVYsAw*8,manager,48693,False,hr-manager
Jessica Schwartz,Tammy Perez,lambkenneth@example.com,258.216.7619x177,"0145 Hess Union Suite 969
Hannahhaven, TN 57261",k5Y^7SIy9I,manager,35298,False,head-manager
Beth Peters,Paul Moon,yflores@example.org,+1-801-296-4192x5233,"8724 Erin Pike Apt. 959
East Christopherport, CA 38044",*xi@t2Jij1,manager,41290,False,db-manager
Cameron Martin,Anita Thomas,gjackson@example.com,(048)533-8512x8622,"Unit 8349 Box 0319
DPO AP 82091",zgm5FgFe_Q,manager,71924,False,db-manager
Donald Holmes,Gabriel Kramer,abishop@example.com,729.547.0638,"5428 George Well
Lake James, MN 49828",68YMgQL&&(,manager,57410,False,attendant-manager
Victoria Lindsey,Sarah Little,ashleyarcher@example.org,+1-808-982-2641x9478,"PSC 2000, Box 6841
APO AA 24356",%FyDbXuA@4,manager,54410,False,head-manager
Joseph Lawrence,Danielle Hoffman,tjackson@example.com,(095)950-9178,"70143 Lawson Forges Suite 188
Lake Daniel, MN 79392",@1$^1Rj4CO,manager,67517,False,hr-manager
Samantha Ortiz,Dennis Carey,priceleah@example.com,+1-846-443-0734x44557,"079 Brady Lane Suite 265
Emilyview, CO 83849",!3SPoB_k@o,manager,57149,False,db-manager
Allen Olson,Angela Miller,thompsonjames@example.net,895-781-5210x565,"Unit 7401 Box 2825
DPO AP 06666",PY9FkLFfa),manager,35908,False,cleanliness-manager
Theresa Palmer,Justin Morris,wwilson@example.org,(427)921-5512x5475,"62422 Welch Drives Suite 049
South Robert, CA 47495",G$m8Ej0g^s,manager,49676,False,cleanliness-manager
Natasha Alvarez,Terry Silva,hjones@example.net,(439)237-6893x26730,"1644 Schultz Stravenue
New Jennifer, OH 44964",(h!BJWMf*8,manager,55273,False,attendant-manager
Jacqueline Baxter,Jessica Robinson,hernandezmatthew@example.org,775-526-4607x0224,"50692 Peggy Row Suite 222
West Georgebury, MI 90528",m1I63CWv$T,manager,38196,False,chef-manager
Joseph Barber,Charles Ruiz,joel21@example.net,001-568-725-0427,"1229 Cortez Inlet Apt. 572
Hudsonview, NE 52936",*jwF3lC@9T,manager,37050,False,stock-manager
Michael Wiggins,Bruce Garcia,imullen@example.net,115.765.7605x183,"04505 Katie Knoll
Lucasshire, NY 74767",@5B%TnhVB6,manager,70820,False,head-manager
Roberta Copeland,Dr. Daniel Wade,lawrencejessica@example.com,+1-952-718-3959,"92586 John Harbors Suite 522
Fieldsshire, WA 37866",#j0UKC@l3p,manager,62306,False,cleanliness-manager
Dana Walters,Alyssa Smith,nathanwood@example.com,(183)938-0231x078,"152 Patrick Lodge Apt. 254
North Stephanieland, WA 23001",3(Tz5B#Scu,manager,44023,False,trainee-manager
Calvin Moore,Brittany Davidson,brianryan@example.net,+1-535-472-2174x2392,"4785 Oconnor Turnpike Apt. 378
Michaelstad, MS 68624",+OC8QfCu7e,manager,45706,False,stock-manager
Jeremy Moreno,Jennifer Alvarez,osampson@example.org,4347223658,"699 Small Street Apt. 614
Nguyenville, RI 50260",9aIkZk#f+L,manager,49663,False,db-manager
Dr. Bill Lopez MD,Christopher Lynch,evelyn58@example.net,(644)870-2474x975,"45439 Mann Tunnel
West Ricardoborough, CO 25756",V&6AXIRiK1,manager,35417,False,trainee-manager
Barbara Clark,Charles Freeman,barbara23@example.org,001-779-253-3011x54433,"8907 Elizabeth Wells
South Lauraland, NM 48797",#m2K+D4gQ_,manager,77092,False,attendant-manager
Mr. Micheal Miller PhD,Lori Silva,richard67@example.org,212-514-2076,"681 Blanchard Turnpike
South Brian, WA 50303",77^JAqVS)y,manager,70704,False,attendant-manager
Timothy Oliver,Alexandra Wade,figueroabenjamin@example.net,(621)422-2472x329,"75779 Guzman Extension Apt. 257
South Jacobchester, WV 81482",!7vPXq*H2r,manager,43923,False,hr-manager
Michael Bailey,Sean Rivers,ecoleman@example.com,645-411-8426x95582,"8757 Chase Point
West Anthony, PA 50648",^W_5qRFeu1,manager,70311,False,cleanliness-manager
Melissa Carroll,Brian Gray,acervantes@example.org,(038)017-1978,"13087 Elizabeth Estates Suite 289
Ronaldmouth, TN 50354",+lE$Cv%bC9,manager,54057,False,hr-manager
Benjamin Lin,Angela Steele,fieldstammy@example.net,001-609-003-3270x582,"3346 Stewart Bypass
Barrettview, NV 66631",o5BoAzj^_3,manager,71021,False,attendant-manager
Courtney Conrad,Tina Roberts,johnsonteresa@example.net,630.298.5035x424,"9089 Amber Ridge Suite 158
Hineshaven, CT 26708",)iYF&*Uef4,manager,50448,False,chef-manager
Lisa Mckinney,Matthew Wallace,anthonytaylor@example.org,(362)463-9629x4509,"37759 Timothy Harbor
Thompsonland, KY 18812",(KnJd)6qk9,manager,54237,False,trainee-manager
Megan Orozco,Jacob Ramos,brittanybrown@example.com,881.007.6180x14130,"11764 Christine Crossroad
Valentinechester, WA 42844",*82*L9Sv**,manager,36449,False,db-manager
Eric Johnson,John Robinson,taylorkimberly@example.com,916-075-4770x07957,"09479 Sweeney Burg
North Joseph, MD 91167",+IUB)Yl(O2,manager,30968,False,attendant-manager
Carla Jimenez,Connie Meyer,charlessanchez@example.com,+1-381-055-8489,"82931 Melissa Ferry
South Beth, CO 53054",!AkQXQnf17,manager,58712,False,hr-manager
Jason Thompson,George Brown,tina59@example.net,237-191-3365,"860 Annette Flat Suite 245
South Kelli, UT 54803",kS6K9OZsJ!,manager,60614,False,chef-manager
Gabriela Ramirez,Jennifer Blake,wrighthelen@example.com,001-425-077-8539,"524 Yang Creek Apt. 238
North Nicole, SD 71759",c%kkgBOw)9,manager,75293,False,head-manager
Michael Griffith,Laura Ramirez,dfitzgerald@example.org,341-492-6339x379,"99104 Bell Pike
Jonesland, NC 84184",T1qMmcIZ+a,manager,61188,False,cleanliness-manager
Natalie Hampton,Ms. Erika Miller MD,douglasmartinez@example.org,(672)102-3889x177,"4891 Butler Loaf Suite 984
New Danielfurt, WI 27560",o9MwDJnv)6,manager,38911,False,db-manager
Dennis Smith MD,Olivia Tucker,mcbridedawn@example.com,257.039.0919x70474,"96628 Jacob Overpass Suite 841
South Meganmouth, FL 41551",e1iN1fig+3,manager,71171,False,stock-manager
John Todd,Howard Morris,victoriapalmer@example.org,780.426.6631x195,"84942 Mccormick Hill Suite 631
South Hollystad, MO 00693",)69P0EVriF,manager,74267,False,attendant-manager
Zachary Gordon,Peter Simon,matthewsdonna@example.com,(258)652-1646x53290,"7565 Jerry Dale Suite 691
Vanessaview, NE 80457",k9QTxaU)@*,manager,57601,False,db-manager
Bryan Rojas,Candice Lewis,morrislaura@example.org,(159)948-6929x584,"Unit 2112 Box 4456
DPO AE 67540",0M@46Yiyz^,manager,58958,False,cleanliness-manager
Barbara Moses,Molly Bray,patriciamoss@example.net,520-739-1912x68438,"33690 Kaylee Valleys
Collinsview, AK 49210",s@b1W(l7Lr,manager,39532,False,cleanliness-manager
Jacob Perry,Nicholas Singleton,wilsoncarl@example.com,+1-812-613-7174x36796,"274 Pitts Skyway
Ashleyport, OR 48471",c%8ZVGpp!W,manager,67098,False,attendant-manager
Jasmine Ross,Jennifer Smith,brittany27@example.org,(198)775-8786x237,"6250 Weaver Way
North Matthew, UT 37349",v!1GjDteoa,manager,39658,False,attendant-manager
Edward Summers,Miranda Wells,kellystanton@example.net,422.149.6136,"035 Moore Fall Apt. 814
Clarkton, MA 13087",x51SOZcw*e,manager,72615,False,attendant-manager
Howard Harris,Jennifer Ramirez,mmurphy@example.net,001-782-505-1816,"54911 Rodriguez Plains
Port Judithstad, ME 47644",XZ3uEC(w@k,manager,60387,False,stock-manager
Megan Butler,James Fields,jacksonjeffrey@example.com,534.580.5996,"7183 Knapp Trail
Lake Melissachester, MN 70851",W7LJyj&t+w,manager,35685,False,trainee-manager
Erica Wong,Jacob Fernandez,susananderson@example.com,001-460-858-7060,"27268 Wong Spurs
New Zacharyshire, TN 91818",$b1S1MJcE9,manager,79331,False,attendant-manager
Miguel Harrington,Shawn Petersen,smithvincent@example.com,(551)013-1826x7427,"991 Juan Throughway Suite 751
Johnsonmouth, WI 91206",DM_V4Ztn%m,manager,34625,False,attendant-manager
Traci Duncan,Darrell Gonzalez,oarellano@example.org,125.338.2108x126,"7487 Moore Throughway Apt. 948
North Katherineberg, OH 73797",yk#$B9Lp6+,manager,40859,False,stock-manager
Nathaniel Perry,Tracy Fisher,steven09@example.net,297-477-7208,"722 Barnes Neck
North Paulstad, NH 82616",j%8E7Ipo$9,manager,79420,False,trainee-manager
Eric Carter,Curtis Snow,imontgomery@example.net,001-260-518-2477,"082 Jose Unions Apt. 481
Port Carol, OH 71545",&^YizUeg29,manager,68887,False,db-manager
Amber Scott,Tyler Hernandez,imoore@example.net,+1-120-402-0054x54274,"42709 Destiny Rue
Lake Nathan, MD 85794",@)Kz^F5wy0,manager,73345,False,db-manager
Gabriel Jones,Joshua Garrett,donnahaynes@example.org,001-005-306-2431x40735,"0734 Teresa Terrace
Michellehaven, GA 83964",!i(fV8Nh&F,manager,56298,False,trainee-manager
Amy Adams,Sandy Dixon,xreyes@example.com,+1-713-805-7395x0474,"295 Davis Ports Apt. 609
Nguyenville, AK 35911",B1b42UAo!6,manager,71825,False,cleanliness-manager
Louis Reyes,Colleen Austin,patricia43@example.com,748.380.3431x800,"831 Christopher Lodge
South Kirk, WV 58576",^MFK6Eosd!,manager,71246,False,db-manager
Karen Meyers,Joseph Garcia,sarah46@example.org,(758)673-3988x94415,"38323 Gabriel Plaza
New Becky, AR 06186",f+3mi+em#U,manager,48890,False,attendant-manager
Emily Hall,Lauren Gray,rmarquez@example.org,239-191-8430x5462,"652 Ryan Passage
Lake Lauren, NV 14427",(8Yh#(TnIF,manager,47482,False,db-manager
Ryan Benson,Deborah Ramos,greed@example.com,+1-324-097-6713x28449,"81808 Morgan Heights Suite 007
Milesville, IN 51975",S04KZsFa*G,manager,54252,False,db-manager
Marisa Shannon,Eric Leonard,jallen@example.net,(044)266-2176,"961 Lance Streets Suite 542
Port Staceyburgh, LA 04230",!i6#&Ob^6!,manager,52846,False,attendant-manager
Sara Davies,April Stein,sherrysmall@example.org,8378617306,"166 Delgado Estates Suite 429
West Martinland, TX 31062",!5N!dEdO#5,manager,63383,False,attendant-manager
Ryan Klein,Lee Cooper,michael26@example.net,001-613-159-5912x672,"7781 Kramer Loaf
New Jill, FL 01449",X8&!2WtHv&,manager,64013,False,head-manager
Joseph Stafford,Juan Myers,xrichards@example.com,+1-652-685-7992x94321,"375 Lynch Route
Lake Nicholasburgh, CO 96301",)#p)4Bng#(,manager,52852,False,head-manager
